[-10.0, -10.0, -9.9000000000000004];[-9.9000000000000004, -10.0, -9.9000000000000004]
[-9.8999999999999986, -10.0, -9.9000000000000004];[10.0, -10.0, -9.9000000000000004]
[10.0, 9.8999999999999986, -9.9000000000000004];[10.0, 10.0, -9.9000000000000004]
[10.0, -10.0, -9.9000000000000004];[10.0, 9.8999999999999986, -9.9000000000000004]
[10.0, 10.0, -9.9000000000000004];[9.9000000000000004, 10.0, -9.9000000000000004]
[9.8999999999999986, 10.0, -9.9000000000000004];[-10.0, 10.0, -9.9000000000000004]
[-10.0, 10.0, -9.9000000000000004];[-10.0, -9.8999999999999986, -9.9000000000000004]
[-10.0, -9.8999999999999986, -9.9000000000000004];[-10.0, -10.0, -9.9000000000000004]
[-10.0, -10.0, -9.8000000000000007];[-9.8000000000000007, -10.0, -9.8000000000000007]
[-9.8000000000000007, -10.0, -9.8000000000000007];[10.0, -10.0, -9.8000000000000007]
[10.0, 9.8000000000000007, -9.8000000000000007];[10.0, 10.0, -9.8000000000000007]
[10.0, -10.0, -9.8000000000000007];[10.0, 9.8000000000000007, -9.8000000000000007]
[10.0, 10.0, -9.8000000000000007];[9.8000000000000007, 10.0, -9.8000000000000007]
[9.8000000000000007, 10.0, -9.8000000000000007];[-10.0, 10.0, -9.8000000000000007]
[-10.0, 10.0, -9.8000000000000007];[-10.0, -9.8000000000000007, -9.8000000000000007]
[-10.0, -9.8000000000000007, -9.8000000000000007];[-10.0, -10.0, -9.8000000000000007]
[-10.0, -10.0, -9.6999999999999993];[-9.6999999999999993, -10.0, -9.6999999999999993]
[-9.6999999999999993, -10.0, -9.6999999999999993];[10.0, -10.0, -9.6999999999999993]
[10.0, 9.6999999999999993, -9.6999999999999993];[10.0, 10.0, -9.6999999999999993]
[10.0, -10.0, -9.6999999999999993];[10.0, 9.6999999999999993, -9.6999999999999993]
[10.0, 10.0, -9.6999999999999993];[9.6999999999999993, 10.0, -9.6999999999999993]
[9.6999999999999993, 10.0, -9.6999999999999993];[-10.0, 10.0, -9.6999999999999993]
[-10.0, 10.0, -9.6999999999999993];[-10.0, -9.6999999999999993, -9.6999999999999993]
[-10.0, -9.6999999999999993, -9.6999999999999993];[-10.0, -10.0, -9.6999999999999993]
[-10.0, -10.0, -9.5999999999999996];[-9.5999999999999996, -10.0, -9.5999999999999996]
[-9.6000000000000014, -10.0, -9.5999999999999996];[10.0, -10.0, -9.5999999999999996]
[10.0, 9.6000000000000014, -9.5999999999999996];[10.0, 10.0, -9.5999999999999996]
[10.0, -10.0, -9.5999999999999996];[10.0, 9.6000000000000014, -9.5999999999999996]
[10.0, 10.0, -9.5999999999999996];[9.5999999999999996, 10.0, -9.5999999999999996]
[9.6000000000000014, 10.0, -9.5999999999999996];[-10.0, 10.0, -9.5999999999999996]
[-10.0, 10.0, -9.5999999999999996];[-10.0, -9.6000000000000014, -9.5999999999999996]
[-10.0, -9.6000000000000014, -9.5999999999999996];[-10.0, -10.0, -9.5999999999999996]
[-10.0, -10.0, -9.5];[-9.5, -10.0, -9.5]
[-9.5, -10.0, -9.5];[10.0, -10.0, -9.5]
[10.0, 9.5, -9.5];[10.0, 10.0, -9.5]
[10.0, -10.0, -9.5];[10.0, 9.5, -9.5]
[10.0, 10.0, -9.5];[9.5, 10.0, -9.5]
[9.5, 10.0, -9.5];[-10.0, 10.0, -9.5]
[-10.0, 10.0, -9.5];[-10.0, -9.5, -9.5]
[-10.0, -9.5, -9.5];[-10.0, -10.0, -9.5]
[-10.0, -10.0, -9.4000000000000004];[-9.4000000000000004, -10.0, -9.4000000000000004]
