[10.0, 0.0, 0.10000000000000001];[9.782204434076947, -2.0721864318847656, 0.10000000000000001]
[9.7822044340769452, -2.0721864318847656, 0.10000000000000001];[9.7814760208129883, -2.0791168212890625, 0.10000000000000001]
[9.7814760208129883, -2.0791168212890625, 0.10000000000000001];[9.1376075839996336, -4.0607391007741294, 0.10000000000000001]
[9.1376075839996336, -4.0607391007741294, 0.10000000000000001];[9.1354541778564453, -4.0673666000366211, 0.10000000000000001]
[9.1354541778564453, -4.0673666000366211, 0.10000000000000001];[8.0936541875203449, -5.871817487080893, 0.10000000000000001]
[8.0936541875203449, -5.8718174870808912, 0.10000000000000001];[8.0901699066162092, -5.8778524398803702, 0.10000000000000001]
[8.0901699066162109, -5.8778524398803711, 0.10000000000000001];[6.6959689935048443, -7.4262698062260952, 0.10000000000000001]
[6.6959689935048425, -7.4262698062260943, 0.10000000000000001];[6.6913061141967782, -7.4314484596252459, 0.10000000000000001]
[6.6913061141967773, -7.4314484596252441, 0.10000000000000001];[5.0056376870473223, -8.6561584583918236, 0.10000000000000001]
[5.0056376870473223, -8.6561584583918254, 0.10000000000000001];[4.9999999999999982, -8.6602544784545845, 0.10000000000000001]
[5.0, -8.6602544784545898, 0.10000000000000001];[3.0965360069274901, -9.5077304363250725, 0.10000000000000001]
[3.0965360069274901, -9.5077304363250725, 0.10000000000000001];[3.0901699066162114, -9.5105648040771502, 0.10000000000000001]
[3.0901699066162109, -9.5105648040771484, 0.10000000000000001];[1.0521009127299004, -9.9437701924641964, 0.10000000000000001]
[1.0521010319391886, -9.9437701924641928, 0.10000000000000001];[1.0452846288681032, -9.9452190399169922, 0.10000000000000001]
[1.045284628868103, -9.9452190399169922, 0.10000000000000001];[-1.0383160646756489, -9.9452190399169922, 0.10000000000000001]
[-1.0383160646756489, -9.9452190399169922, 0.10000000000000001];[-1.045284628868103, -9.9452190399169922, 0.10000000000000001]
[-1.045284628868103, -9.9452190399169922, 0.10000000000000001];[-3.0833536227544158, -9.5120136515299514, 0.10000000000000001]
[-3.0833535035451254, -9.5120136515299478, 0.10000000000000001];[-3.0901699066162109, -9.5105648040771484, 0.10000000000000001]
[-3.0901699066162109, -9.5105648040771484, 0.10000000000000001];[-4.9936338996887217, -8.6630888462066675, 0.10000000000000001]
[-4.9936338996887208, -8.6630888462066657, 0.10000000000000001];[-5.0, -8.6602544784545898, 0.10000000000000001]
[-5.0, -8.6602544784545898, 0.10000000000000001];[-6.6856684271494542, -7.4355444796880068, 0.10000000000000001]
[-6.6856684271494551, -7.4355444796880086, 0.10000000000000001];[-6.6913061141967756, -7.4314484596252415, 0.10000000000000001]
[-6.6913061141967773, -7.4314484596252441, 0.10000000000000001];[-8.0855070273081466, -5.88303109327952, 0.10000000000000001]
[-8.0855070273081466, -5.8830310932795209, 0.10000000000000001];[-8.0901699066162109, -5.8778524398803711, 0.10000000000000001]
