[17.575857162241263, -0.18861484559269748, -2.4041951762754366e-10];[17.575857162475586, -0.18861460685729983, -2.4041951762754366e-10]
[17.575858186083881, -0.18861481631232024, -2.4041951762754366e-10];[17.575857162475582, -0.18861460685729936, -2.4041951762754366e-10]
[-11.506518781030152, 12.564653570446561, 0.099999999759580488];[-0.011325005915838737, 17.385142014109665, 0.099999999759580488]
[12.417991470632071, 12.346826329438283, 0.099999999759580488];[0.092312825009273958, 17.385491750343178, 0.099999999759580488]
[17.673320999689345, -0.056837089056800849, 0.099999999759580488];[12.574451470601769, 12.191119218196985, 0.099999999759580488]
[12.574456339649348, -12.566332138155969, 0.099999999759580488];[17.673321034969767, -0.320367096308253, 0.099999999759580488]
[0.092318323133511626, -17.760707786595443, 0.099999999759580488];[12.417990778453442, -12.722044590393264, 0.099999999759580488]
[-11.507406872158175, -12.939499252442923, 0.099999999759580488];[-0.011330427115150421, -17.760357546525572, 0.099999999759580488]
[-11.512453571992534, -12.235705474237056, 0.099999999759580488];[-11.507322807744893, -10.529160878250408, 0.099999999759580488]
[-11.507406872158175, -12.939499252442923, 0.099999999759580488];[-11.512453571992534, -12.235705474237053, 0.099999999759580488]
[0.040257510774103562, -17.760607280319192, 0.099999999759580488];[0.092318343934717259, -17.760707586126848, 0.099999999759580488]
[-0.011330427115149533, -17.760357546525569, 0.099999999759580488];[0.040257510082451042, -17.760607545706307, 0.099999999759580488]
[-11.506518781030152, 12.564653570446561, 0.099999999759580488];[-11.390669624603326, 5.9158575122669683, 0.099999999759580488]
[-11.39066991517597, 5.9158567821100716, 0.099999999759580488];[-11.507322517172254, -10.529161831924723, 0.099999999759580488]
[0.092312657059972381, 17.385491841465189, 0.099999999759580488];[0.040257520737182056, 17.385391737044067, 0.099999999759580488]
[0.040257520500314815, 17.385391827930032, 0.099999999759580488];[-0.011325005915837155, 17.385142014109668, 0.099999999759580488]
[12.496093461462657, -12.644553804658059, 0.099999999759580488];[12.574456270091526, -12.56633214848784, 0.099999999759580488]
[12.417990768078599, -12.722044659609352, 0.099999999759580488];[12.49609376056576, -12.644554104812201, 0.099999999759580488]
[17.673321034735444, -0.3203673344100757, 0.099999999759580488];[17.673522076202325, -0.18861036545112564, 0.099999999759580488]
[17.673522075967526, -0.18861036545113594, 0.099999999759580488];[17.673320999923661, -0.056836850321401497, 0.099999999759580488]
[12.574451694396503, 12.191119184955284, 0.099999999759580488];[12.495489629318127, 12.269698223836613, 0.099999999759580488]
[12.495489398117988, 12.269697987926959, 0.099999999759580488];[12.417991504011976, 12.346826106743183, 0.099999999759580488]
[-17.571961314874706, -0.29192225956044915, 0.19999999975958049];[-12.515995675096068, -12.563395009873176, 0.19999999975958049]
[-12.515991697062452, 12.18818195288868, 0.19999999975958049];[-17.571961528631295, -0.085287070825777356, 0.19999999975958049]
[-0.14230177304570724, 17.482097309798398, 0.19999999975958049];[-12.336514839996985, 12.368476138265715, 0.19999999975958049]
[12.393774307508686, 12.508391897570673, 0.19999999975958049];[0.2239786385880711, 17.483333268019496, 0.19999999975958049]
[17.770784837137427, 0.074940667479097556, 0.19999999975958049];[12.736814825485734, 12.167002323553254, 0.19999999975958049]
[12.736819694533308, -12.542215267533004, 0.19999999975958049];[17.770784907463948, -0.45211958575920974, 0.19999999975958049]
[0.22398417621613476, -17.858549381632209, 0.19999999975958049];[12.393773603769205, -12.88361025952336, 0.19999999975958049]
[-12.336514153153512, -12.743694459445479, 0.19999999975958049];[-0.14230687845658263, -17.857313086214855, 0.19999999975958049]
[0.040003176446726116, -17.85819537670735, 0.19999999975958049];[0.22398419701734074, -17.858549181163625, 0.19999999975958049]
[-0.14230681284393043, -17.857312822548671, 0.19999999975958049];[0.040003175755073672, -17.858195642094458, 0.19999999975958049]
[-17.571961296580181, -0.085287606467836952, 0.19999999975958049];[-17.572105429083742, -0.18861129668516471, 0.19999999975958049]
[-17.572105196597938, -0.18861129669520885, 0.19999999975958049];[-17.57196154692587, -0.29192234810778728, 0.19999999975958049]
[-12.515996287190056, -12.563394919224496, 0.19999999975958049];[-12.426673137185196, -12.653390451509589, 0.19999999975958049]
[-12.426673399690582, -12.653390713083107, 0.19999999975958049];[-12.336514130121341, -12.743694616211197, 0.19999999975958049]
[-12.33651484176869, 12.368476126206815, 0.19999999975958049];[-12.426671086844419, 12.278174762117423, 0.19999999975958049]
[-12.426671411115722, 12.27817508523748, 0.19999999975958049];[-12.515990940946253, 12.188182064866586, 0.19999999975958049]
[0.2239784706387713, 17.483333359141511, 0.19999999975958049];[0.040003186470946854, 17.48297979795187, 0.19999999975958049]
[0.040003186234079634, 17.482979888837836, 0.19999999975958049];[-0.14230136049182954, 17.482097219501828, 0.19999999975958049]
[12.565011812131704, -12.713714332661873, 0.19999999975958049];[12.736819624975491, -12.542215277864875, 0.19999999975958049]
[12.393773593394364, -12.883610328739451, 0.19999999975958049];[12.565012111234809, -12.71371463281602, 0.19999999975958049]
[17.770784907229626, -0.45211982386103067, 0.19999999975958049];[17.771186989929078, -0.1886061240449517, 0.19999999975958049]
[17.771186989694275, -0.18860612404496188, 0.19999999975958049];[17.770784837371746, 0.074940906214496728, 0.19999999975958049]
[12.736815049280464, 12.167002290311554, 0.19999999975958049];[12.56368997515491, 12.339287801821653, 0.19999999975958049]
[12.56368974395477, 12.339287565911995, 0.19999999975958049];[12.393774340888593, 12.508391674875575, 0.19999999975958049]
[-17.669290628552403, -0.42281170482082331, 0.29999999975958053];[-12.677081684556082, -12.539538814117602, 0.29999999975958053]
[-12.677077725660398, 12.164325730537726, 0.29999999975958053];[-17.669290819130008, 0.045627491904602024, 0.29999999975958053]
[-0.27327812762170112, 17.579052515190561, 0.29999999975958053];[-12.312735422628046, 12.530327896575297, 0.29999999975958053]
[12.369557144385299, 12.669957465703064, 0.29999999975958053];[0.35564445216687179, 17.581174785695826, 0.29999999975958053]
[17.868248674585509, 0.20671842401499596, 0.29999999975958053];[12.899178180369692, 12.142885428909524, 0.29999999975958053]
[12.899183049417271, -12.518098396910037, 0.29999999975958053];[17.86824877995813, -0.58387207521017004, 0.29999999975958053]
